id,followers_count,friends_count,created_at,language
469503813,3424,2164,Fri Jan 20 17:27:51 +0000 2012,en
243001984,2750,3673,Wed Jan 26 02:28:42 +0000 2011,en
57750835,580,2289,Fri Jul 17 20:39:19 +0000 2009,en
286506215,3796,626,Sat Apr 23 04:08:47 +0000 2011,en
219010139,4377,612,Tue Nov 23 18:00:37 +0000 2010,en
419736961,2970,3390,Wed Nov 23 18:36:51 +0000 2011,en
803220132,11546,11525,Tue Sep 04 21:14:11 +0000 2012,en
45658900,9379,8918,Mon Jun 08 20:17:39 +0000 2009,en
30035684,6460,6798,Thu Apr 09 18:21:22 +0000 2009,en
2149827662,2630,2165,Tue Oct 22 22:38:17 +0000 2013,en
159062306,44199,3,Thu Jun 24 10:21:58 +0000 2010,th
26812093,2231,1004,Thu Mar 26 18:27:12 +0000 2009,en
30130714,3156,1501,Fri Apr 10 02:03:51 +0000 2009,en
2874016528,826,176,Wed Nov 12 17:23:13 +0000 2014,en
16385605,3537,2361,Sun Sep 21 00:50:50 +0000 2008,en
59868822,6813,6477,Fri Jul 24 19:43:22 +0000 2009,en
14317656,416,130,Sun Apr 06 20:45:05 +0000 2008,en
411701635,354,217,Sun Nov 13 19:23:31 +0000 2011,en
1394884184,703,983,Wed May 01 15:20:13 +0000 2013,en
26293523,2574,223,Tue Mar 24 18:40:27 +0000 2009,en
3088992136,674,679,Thu Mar 12 14:19:38 +0000 2015,en
90345609,3608,337,Mon Nov 16 07:19:06 +0000 2009,en
18673531,3821,3254,Tue Jan 06 13:13:56 +0000 2009,en
